nodeId:ID(Intersection),longitude:double,latitude:double,:LABEL
351,-43.5146304,-22.6611963,Intersection
352,-43.5149494,-22.6613065,Intersection
353,-43.5151264,-22.6613659,Intersection
354,-43.5152632,-22.6614204,Intersection
355,-43.5154294,-22.6614927,Intersection
356,-43.5154904,-22.6615215,Intersection
357,-43.5156035,-22.6615652,Intersection
358,-43.5157376,-22.6616114,Intersection
359,-43.5158879,-22.6616593,Intersection
360,-43.5160147,-22.6616899,Intersection
361,-43.5161604,-22.6617213,Intersection
362,-43.5163619,-22.6617519,Intersection
363,-43.5166279,-22.6617772,Intersection
364,-43.5169775,-22.6618096,Intersection
365,-43.5175445,-22.6618583,Intersection
366,-43.5180075,-22.6618765,Intersection
367,-43.5185074,-22.6618894,Intersection
368,-43.5187975,-22.6618926,Intersection
369,-43.5189376,-22.6618847,Intersection
370,-43.5190846,-22.6618663,Intersection
371,-43.5192175,-22.6618394,Intersection
372,-43.5193783,-22.6618012,Intersection
373,-43.5195149,-22.6617655,Intersection
374,-43.5196434,-22.6617202,Intersection
375,-43.5197885,-22.6616511,Intersection
376,-43.5199391,-22.6615792,Intersection
377,-43.5200915,-22.6615097,Intersection
378,-43.5202549,-22.6614501,Intersection
379,-43.5204498,-22.6613965,Intersection
380,-43.5206893,-22.6613152,Intersection
381,-43.5209079,-22.6612471,Intersection
382,-43.5211426,-22.6611778,Intersection
383,-43.5213650,-22.6611034,Intersection
384,-43.5215723,-22.6610268,Intersection
385,-43.5216992,-22.6609835,Intersection
386,-43.5218413,-22.6609365,Intersection
387,-43.5220291,-22.6608759,Intersection
388,-43.5220848,-22.6608588,Intersection
389,-43.5222074,-22.6608214,Intersection
390,-43.5224222,-22.6607568,Intersection
391,-43.5226326,-22.6606939,Intersection
392,-43.5245785,-22.6600343,Intersection
393,-43.5260296,-22.6595789,Intersection
394,-43.5265660,-22.6593945,Intersection
395,-43.5268423,-22.6592967,Intersection
396,-43.5273519,-22.6591111,Intersection
397,-43.5279018,-22.6589155,Intersection
398,-43.5288326,-22.6585682,Intersection
399,-43.5288858,-22.6585483,Intersection
400,-43.5289187,-22.6585344,Intersection
401,-43.5289609,-22.6585106,Intersection
402,-43.5290235,-22.6584768,Intersection
403,-43.5291812,-22.6582831,Intersection
404,-43.5293088,-22.6581122,Intersection
405,-43.5294648,-22.6578704,Intersection
406,-43.5298417,-22.6573314,Intersection
407,-43.5300019,-22.6571223,Intersection
408,-43.5300992,-22.6570208,Intersection
409,-43.5302293,-22.6569081,Intersection
410,-43.5304116,-22.6567664,Intersection
411,-43.5306709,-22.6565718,Intersection
412,-43.5313451,-22.6560437,Intersection
413,-43.5314497,-22.6559737,Intersection
414,-43.5315938,-22.6558884,Intersection
415,-43.5318489,-22.6557496,Intersection
416,-43.5321283,-22.6556229,Intersection
417,-43.5328281,-22.6551929,Intersection
418,-43.5329964,-22.6550974,Intersection
419,-43.5332758,-22.6549553,Intersection
420,-43.5334653,-22.6548716,Intersection
421,-43.5335433,-22.6548506,Intersection
422,-43.5336422,-22.6548260,Intersection
423,-43.5339039,-22.6547807,Intersection
424,-60.0118280,-3.1159612,Intersection
425,-60.0118364,-3.1158960,Intersection
426,-60.0118565,-3.1158524,Intersection
427,-60.0118960,-3.1158105,Intersection
428,-60.0119337,-3.1157902,Intersection
429,-60.0119701,-3.1157787,Intersection
430,-60.0133772,-3.1157483,Intersection
431,-60.0134204,-3.1157488,Intersection
432,-60.0136023,-3.1157464,Intersection
433,-60.0142591,-3.1157480,Intersection
434,-60.0149151,-3.1157496,Intersection
435,-60.0153405,-3.1157492,Intersection
436,-60.0154741,-3.1157480,Intersection
437,-60.0155687,-3.1157480,Intersection
438,-60.0165915,-3.1157505,Intersection
439,-60.0166486,-3.1157510,Intersection
440,-60.0167444,-3.1157493,Intersection
441,-60.0168427,-3.1157485,Intersection
